record_id,community_id,employer_name,locations,sector,recruiting_status,source_url,source_type,first_seen_at,last_seen_at,status,manual_override,review_status,notes
thunder-bay|allstate-insurance-company-of-canada-1186memorialaveunit2bthu,thunder-bay,Allstate Insurance Company of Canada,"1186 Memorial Ave. Unit 2B, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|als-canada-ltd-1081bartonstreetthunderb,thunder-bay,ALS Canada Ltd,"1081 Barton Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|amber-ekam-freightlines-inc-905commercestreetthunder,thunder-bay,Amber & Ekam Freightlines Inc.,"905 Commerce Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|apex-investigation-security-inc-391oliverradthunderbay,thunder-bay,Apex Investigation & Security Inc.,"391 Oliver Rad, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|aroma-bliss-36cumberlandststhunderba,thunder-bay,Aroma bliss,36 Cumberland St S Thunder Bay,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|auburn-retailing-ltd-canadian-tire-083-auto-service-centre-939fortwilliamroadthunde,thunder-bay,Auburn Retailing Ltd.- Canadian Tire 083 Auto Service Centre,"939 Fort William Road, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|aviation-intertec-services-inc-suite300100princessstree,thunder-bay,Aviation InterTec Services Inc.,"Suite 300 - 100 Princess Street, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|balmoral-dental-lab-109algomastreetsouththun,thunder-bay,Balmoral Dental Lab,"109 Algoma Street South, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|barb-s-laundromat-242brunswickstreetnortht,thunder-bay,Barb's Laundromat,"242 Brunswick Street North, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|bay-city-contractors-1123russellstthunderbay,thunder-bay,Bay City Contractors,1123 Russell St Thunder Bay,,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|bayshore-healthcare-1260golflinkroadssuite10,thunder-bay,Bayshore HealthCare,"1260 Golf Link Roads, Suite #103, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
thunder-bay|baywood-dental-131eastavenuethunderbay,thunder-bay,Baywood Dental,"131 East Avenue, Thunder Bay",,unknown,https://gotothunderbay.ca/wp-content/uploads/2026/08/As-of-August-13-2026.pdf,pdf,2026-09-10T20:55:54.670Z,2026-09-10T20:55:54.670Z,active,FALSE,new,Source list updated: June 29 2026 | Source PDF marks some employers in red as not hiring (colour not available in text extract).
